Unnamed: 0.1,Unnamed: 0,price,title,year,mileage,transmission,body_type,drive_type,color,engine_capacity,engine_power,fuel_type,travel_distance,price_scaled,year_scaled,mileage_scaled,engine_capacity_scaled,engine_power_scaled,travel_distance_scaled
141109,143607,5300000,Land Rover Range Rover Velar I,2017,92000,автомат,внедорожник 5 дв.,полный,белый,3.0,300.0,Дизель,0,-0.1663772875356369,0.7937523334900305,-0.8546914402315428,-0.3032552201087288,-0.3770023521106554,-0.0096796395548317
70339,70919,1000000,Toyota Camry VI (XV40),2007,111111,механика,седан,передний,чёрный,2.4,167.0,Бензин,0,-0.4643348630857456,-0.3696984634271371,1.7597767820516743,-0.3032552201087288,-0.4156573714198744,-0.0096796395548317
61671,62144,950000,Mitsubishi Pajero III Рестайлинг,2006,300000,автомат,внедорожник 5 дв.,полный,бежевый,3.2,160.0,Дизель,0,-0.6349752550180037,-0.4860435431188539,1.4200647857761628,-0.8359956414597183,-0.8408625838212842,-0.0096796395548317
132959,135188,1667000,Kia Sportage IV,2016,125000,автомат,внедорожник 5 дв.,полный,коричневый,2.0,150.0,Бензин,0,-0.0403863245804722,0.6774072537983137,-0.8327621368930208,-0.9691807467974658,-0.2868073070558109,-0.0096796395548317
74601,75204,400000,Nissan Almera Classic I,2007,280762,механика,седан,передний,серый,1.6,107.0,Бензин,0,-0.4050970068191068,-0.2533533837354204,0.1863738519335146,0.2294852012422606,-0.0419921847640901,-0.0096796395548317
151415,154350,2950000,Volkswagen Tiguan II,2018,130000,робот,внедорожник 5 дв.,полный,чёрный,2.0,180.0,Бензин,0,0.6249343745336429,1.026442492873464,-0.3097844584162461,-0.3032552201087288,0.4089830405101323,-0.0096796395548317
138920,141282,2350000,BMW X1 20i xDrive II (F48),2016,155000,автомат,внедорожник 5 дв.,полный,белый,2.0,192.0,Бензин,0,-0.2799901909723994,0.7937523334900305,-0.6629061387552649,-0.8359956414597183,-0.6475874872751889,-0.0096796395548317
103828,105051,487000,Vortex Tingo I,2012,57130,механика,внедорожник 5 дв.,передний,синий,1.9,132.0,Бензин,0,-0.5222464986896985,0.2120269350314466,0.550223279523339,-0.8359956414597183,-0.8666325966940969,-0.0096796395548317
87074,87909,300000,Peugeot 308 I,2009,190000,механика,хэтчбек 5 дв.,передний,чёрный,1.6,120.0,Бензин,0,-0.4249903167593959,-0.0206632243519868,-0.5109297193688518,-0.8359956414597183,-0.8022075645120651,-0.0096796395548317
128668,130774,1590000,Mazda CX-3 I,2015,138900,автомат,внедорожник 5 дв.,полный,серый,1.5,105.0,Дизель,0,0.0148728696981087,0.6774072537983137,-0.9668589775280914,0.2294852012422606,0.1126278924727861,-0.0096796395548317
172404,176710,3390000,Toyota Alphard III Рестайлинг,2021,25500,вариатор,минивэн,передний,белый,2.5,182.0,Бензин,0,1.2394166149114634,1.3754777319486142,-1.4138484463116594,-0.3032552201087288,1.0274633494576373,-0.0096796395548317
63820,64305,660000,Nissan X-Trail I Рестайлинг,2006,320000,механика,внедорожник 5 дв.,полный,чёрный,2.0,140.0,Бензин,0,-0.462566568868831,-0.4860435431188539,0.5082062694576837,1.694521359957482,0.795533233602323,-0.0096796395548317
80801,81550,145000,Lada (ВАЗ) 2111,2008,163000,механика,универсал 5 дв.,передний,чёрный,1.6,90.0,Бензин,0,-0.6539844178498356,-0.1370083040437036,-0.542585513548104,-1.102365852135213,-1.0599076932401923,-0.0096796395548317
181059,186023,6470000,Lexus RX 350 V,2023,14000,автомат,внедорожник 5 дв.,передний,чёрный,2.4,279.0,Бензин,0,0.9427852600240408,1.491822811640331,-1.5887107264997913,-0.3032552201087288,0.5893731306198212,-0.0096796395548317
134749,137056,1850000,Nissan X-Trail III,2016,196000,вариатор,внедорожник 5 дв.,передний,чёрный,2.0,144.0,Бензин,0,-0.6349752550180037,0.6774072537983137,-1.2350526587982322,-0.8359956414597183,-1.0985627125494113,-0.0096796395548317
14210,14280,350000,BMW 3 серии 318i III (E36),1997,240000,автомат,универсал 5 дв.,задний,белый,1.8,115.0,Бензин,0,-0.785280263455744,-1.5331492603443049,-0.7880631900146641,-0.8359956414597183,-1.2660677962226938,-0.0096796395548317
139279,141668,1600000,Infiniti Q50 I,2017,69000,автомат,седан,задний,белый,3.0,304.0,Бензин,0,-0.3171243695276058,0.7937523334900305,-0.001361724955584,-0.3032552201087288,-0.3770023521106554,-0.0096796395548317
63561,64045,1150000,Audi A6 III (C6),2006,361000,автомат,седан,полный,чёрный,3.1,255.0,Бензин,0,-0.6393959905602902,-0.4860435431188539,0.7585203719764818,-0.5696254307842236,-0.4156573714198744,-0.0096796395548317
20056,20155,365000,Nissan R'nessa,1998,282379,автомат,универсал 5 дв.,передний,белый,2.0,140.0,Бензин,0,-0.581926428510566,-1.3004591009608713,-0.2516758274743822,-1.2355509574729604,-1.1887577576042558,-0.0096796395548317
