price,title,year,mileage,engine,transmission,body_type,drive_type,color
140 000 ₽,Lada (ВАЗ) 2115,2006,250000км,1.5 л / 76 л.с. / Бензин,механика,седан,передний,серебристый
470 000 ₽,Toyota Carina VII (T210),1998,340494км,1.8 л / 115 л.с. / Бензин,автомат,седан,передний,белый
154 000 ₽,Lada (ВАЗ) 2114,2004,324000км,1.5 л / 77 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,синий
1 450 000 ₽,Geely Atlas I,2018,147661км,2.4 л / 149 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серебристый
14 725 468 ₽,Lincoln Aviator II,2024,6км,3.0 л / 400 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
369 000 ₽,Nissan Sunny B15,1999,197810км,1.5 л / 105 л.с. / Бензин,механика,седан,передний,белый
250 000 ₽,"Toyota Previa I (XR10, XR20)",1992,230000км,2.4 л / 132 л.с. / Бензин,механика,минивэн,задний,красный
180 000 ₽,Nissan Almera II (N16),2002,378708км,1.8 л / 114 л.с. / Бензин,механика,седан,передний,голубой
990 000 ₽,Nissan Mistral,1996,220000км,2.7 л / 100 л.с. / Дизель,автомат,внедорожник 5 дв.,полный,синий
5 130 000 ₽,Toyota Crown Sport XVI (S230),2023,9800км,2.5 л / 306 л.с. / Гибрид,вариатор,внедорожник 5 дв.,полный,серый
3 050 000 ₽,Subaru Forester V,2019,57000км,2.5 л / 185 л.с. / Бензин,вариатор,внедорожник 5 дв.,полный,белый
655 000 ₽,Kia Sportage II,2006,250000км,2.0 л / 112 л.с. / Дизель,автомат,внедорожник 5 дв.,полный,серебристый
600 000 ₽,Hyundai Santa Fe I,2000,270000км,2.4 л / 146 л.с. / Бензин,автомат,внедорожник 5 дв.,передний,чёрный
1 449 000 ₽,Volkswagen Polo VI,2021,57837км,1.6 л / 90 л.с. / Бензин,механика,лифтбек,передний,чёрный
150 000 ₽,Lada (ВАЗ) 2112,2002,172000км,1.5 л / 92 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,серебристый
2 050 000 ₽,Volkswagen Touareg II,2011,205000км,3.6 л / 249 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,коричневый
265 000 ₽,Nissan AD II,2002,150000км,1.8 л / 105 л.с. / Газ,автомат,универсал 5 дв.,передний,серый
640 000 ₽,Ford Mondeo III Рестайлинг,2006,187940км,1.8 л / 125 л.с. / Бензин,механика,седан,передний,голубой
300 000 ₽,Renault Logan I,2008,290000км,1.4 л / 75 л.с. / Бензин,механика,седан,передний,серый
160 000 ₽,Lada (ВАЗ) 2112,2003,250000км,1.5 л / 92 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,серый
970 000 ₽,Volkswagen Touareg I,2005,169550км,3.2 л / 241 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серебристый
909 000 ₽,Skoda Octavia II (A5) Рестайлинг,2012,218634км,1.8 л / 152 л.с. / Бензин,автомат,лифтбек,передний,белый
450 000 ₽,ГАЗ 3102 «Волга»,1995,33300км,2.5 л / 100 л.с. / Бензин,механика,седан,задний,белый
650 000 ₽,BMW 7 серии 750i IV (E65/E66) Рестайлинг,2006,200000км,4.8 л / 367 л.с. / Бензин,автомат,седан,задний,серый
2 500 000 ₽,Mitsubishi Lancer Evolution VII,2001,164100км,2.0 л / 280 л.с. / Бензин,механика,седан,полный,красный
3 349 221 ₽,BAIC BJ40 I Рестайлинг,2023,1505км,2.0 л / 218 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,зелёный
