price,Наличие,Поколение,Год выпуска,Пробег,Кузов,Цвет,Двигатель,Комплектация,Налог,Коробка,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Обмен,Владение,Запас хода,VIN,Госномер,Гарантия
5750000,Вналичии,IIРестайлинг,2024,10км,внедорожник5дв.,белый,2.0л/150л.с./Бензин,High,5250₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
48800000,Впути,III(W447)Рестайлинг2,2024,25км,минивэн,чёрный,2.0л/237л.с./Дизель,8опций,17700₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,9месяцев,,,,
46900000,Вналичии,III(W447)Рестайлинг2,2023,25км,минивэн,чёрный,2.0л/237л.с./Дизель,9опций,17775₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,9месяцев,,,,
499000,Вналичии,I,2003,277000км,внедорожник5дв.,чёрный,2.2л/114л.с./Дизель,44опции,3192₽/год,механическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,
5900000,Назаказ,,2025,1км,седан,серый,673л.с./495кВт/Электро,Max,0₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,800км,,,
1949000,Вналичии,IV,2015,135828км,внедорожник5дв.,серый,2.5л/171л.с./Бензин,CS,8550₽/год,вариатор,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1650000,Вналичии,IРестайлинг,2013,98000км,внедорожник5дв.,серебристый,2.0л/150л.с./Бензин,Comfort,5250₽/год,механическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,,,,TMA**************,******|799,
1799000,Вналичии,IРестайлинг,2014,130157км,внедорожник5дв.,бежевый,2.4л/181л.с./Дизель,1опция,9000₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1397000,Вналичии,I,2017,208999км,внедорожник5дв.,белый,1.6л/123л.с./Бензин,Travel+Advanced,3444₽/год,автоматическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1590000,Вналичии,VI,2021,70000км,лифтбек,бежевый,1.6л/110л.с./Бензин,Status,3080₽/год,автоматическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,3годаи10месяцев,,XW8**************,******|799,
3950000,Вналичии,V(XA50),2022,40500км,внедорожник5дв.,белый,2.0л/149л.с./Бензин,Комфорт,5215₽/год,вариатор,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
6450000,Вналичии,,2024,30км,седан,зелёный,673л.с./495кВт/Электро,Max,0₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,800км,,,
915000,Вналичии,IIРестайлинг,2008,306000км,внедорожник5дв.,чёрный,2.4л/169л.с./Бензин,JLX-E,8450₽/год,механическая,полный,Левый,Нетребуетремонта,3илиболее,Дубликат,Растаможен,,,,JSA**************,******|977,
9099000,Вналичии,III,2021,46420км,внедорожник5дв.,чёрный,3.0л/340л.с./Бензин,44опции,50850₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,Дофевраля2027
2500000,Вналичии,I(X253),2018,129000км,внедорожник5дв.,чёрный,2.0л/245л.с./Бензин,1опция,18000₽/год,автоматическая,задний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,WDC**************,******|50,
1049000,Вналичии,II,2008,170000км,внедорожник5дв.,серый,2.2л/150л.с./Дизель,GLSBM122402Ef,5250₽/год,автоматическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,
3380000,Вналичии,I,2023,16258км,внедорожник5дв.,чёрный,2.0л/220л.с./Бензин,CityAdventure,15840₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
4079000,Вналичии,II,2017,108981км,внедорожник5дв.,коричневый,2.0л/235л.с./Дизель,29опций,17625₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,YV1**************,,
7650000,Вналичии,III,2019,41680км,внедорожник5дв.,серый,3.0л/340л.с./Бензин,1опция,51000₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,,,
550000,Вналичии,I,2012,166718км,компактвэн,синий,1.6л/125л.с./Бензин,Prestige,3472₽/год,автоматическая,передний,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1700000,Вналичии,"IV(W212,S212,C207)",2011,102000км,седан,чёрный,1.8л/184л.с./Бензин,E200CGIBlueEFFICIENCY,9016₽/год,автоматическая,задний,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,,,,WDD**************,******|197,
2205000,Вналичии,IРестайлинг,2023,28958км,внедорожник5дв.,белый,1.5л/181л.с./Бензин,23опции,9000₽/год,роботизированная,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1260000,Вналичии,II,2015,143000км,внедорожник5дв.,серый,1.6л/150л.с./Бензин,TrendPlus,5066₽/год,автоматическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,
550000,Вналичии,IРестайлинг,2020,63000км,седан,серый,1.6л/87л.с./Бензин,1опция,870₽/год,механическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,,,
6232000,Вналичии,III,2019,158930км,внедорожник5дв.,чёрный,3.0л/340л.с./Бензин,58опций,51000₽/год,автоматическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,
2455000,Вналичии,IV(W205),2015,125639км,седан,синий,2.0л/184л.с./Бензин,38опций,9200₽/год,автоматическая,полный,Левый,Нетребуетремонта,3илиболее,Оригинал,Растаможен,Рассмотрюварианты,,,,,Дофевраля2027
2428000,Назаказ,IIIРестайлинг,2020,52279км,лифтбек,белый,2.0л/190л.с./Бензин,Sportline,9500₽/год,роботизированная,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,,,
849000,Вналичии,II(A5)Рестайлинг,2012,177000км,лифтбек,белый,1.4л/122л.с./Бензин,Elegance,3416₽/год,роботизированная,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
2100000,Вналичии,IV(XA40),2013,155000км,внедорожник5дв.,чёрный,2.2л/149л.с./Дизель,Стандарт,5250₽/год,автоматическая,полный,Левый,Нетребуетремонта,3илиболее,Оригинал,Растаможен,,3годаи1месяц,,JTM**************,******|799,
2178000,Вналичии,IIIРестайлинг2,2018,183000км,внедорожник5дв.,чёрный,2.0л/146л.с./Бензин,Intense+,5110₽/год,вариатор,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,Z8T**************,******|799,
650000,Вналичии,IРестайлинг,2011,147380км,хэтчбек5дв.,серый,1.6л/110л.с./Бензин,14опций,3740₽/год,механическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,14лети1месяц,,,,
2790000,Вналичии,IV,2021,54800км,внедорожник5дв.,белый,2.0л/150л.с./Бензин,36опций,5066₽/год,автоматическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,Дофевраля2027
4750000,Вналичии,VII(G30/G31),2019,61779км,седан,серый,2.0л/190л.с./Дизель,520dxDriveMSport,9500₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,1годи1месяц,,WBA**************,******|797,
5460000,Вналичии,,2024,9903км,внедорожник5дв.,серый,544л.с./400кВт/Электро,MaxPerformance,0₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,700км,,,
1999999,Вналичии,VII,2014,178239км,хэтчбек5дв.,белый,2.0л/220л.с./Бензин,GTI,15840₽/год,роботизированная,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,WVW**************,******|777,
160000,Вналичии,G,1998,310000км,хэтчбек5дв.,белый,1.6л/101л.с./Бензин,1опция,1300₽/год,автоматическая,передний,Левый,Нетребуетремонта,3илиболее,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1300000,Вналичии,I,2020,133000км,внедорожник5дв.,красный,1.6л/114л.с./Бензин,Style,3192₽/год,вариатор,передний,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,,,,,,
1970000,Вналичии,I,2023,21500км,внедорожник5дв.,белый,1.5л/150л.с./Бензин,Flagship,5215₽/год,роботизированная,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,,,
4050000,Назаказ,VII(G30/G31)Рестайлинг,2022,27000км,седан,белый,2.0л/184л.с./Бензин,18опций,9200₽/год,автоматическая,задний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,3месяца,,,,
1200000,Вналичии,,2011,185250км,внедорожник5дв.,синий,2.4л/170л.с./Бензин,Active,8500₽/год,вариатор,полный,Левый,Нетребуетремонта,3илиболее,Оригинал,Растаможен,Рассмотрюварианты,,,,,
2349000,Вналичии,IIIРестайлинг2,2012,139000км,внедорожник5дв.,синий,4.4л/313л.с./Дизель,Vogue,46800₽/год,автоматическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,
4570000,Назаказ,V(C8),2022,39800км,седан,чёрный,3.0л/249л.с./Дизель,18опций,18675₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,7месяцев,,,,
1299000,Вналичии,I,2019,12727км,микровэн,коричневый,1.0л/69л.с./Бензин,36опций,897₽/год,вариатор,передний,Правый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,M90*******,,
2760000,Вналичии,III(DR/DH),2008,430000км,пикапдвойнаякабина,чёрный,"4.7л/238л.с./Бензин,газобаллонноеоборудование",39опций,,автоматическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,,7лети6месяцев,,,,
1900000,Вналичии,IV(C7),2014,240000км,седан,чёрный,2.8л/204л.с./Бензин,1опция,14688₽/год,роботизированная,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,WAU**************,******|777,
2650000,Вналичии,VII(XV50)Рестайлинг2,2017,141000км,седан,чёрный,2.5л/181л.с./Бензин,ЭлегансПлюс,9050₽/год,автоматическая,передний,Левый,Нетребуетремонта,3илиболее,Оригинал,Растаможен,,,,XW7**************,******|790,
7190000,Назаказ,I(4M),2022,38000км,внедорожник5дв.,белый,3.0л/286л.с./Дизель,50TDI,42900₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,3месяца,,,,
4350000,Вналичии,150SeriesРестайлинг1,2017,91342км,внедорожник5дв.,белый,2.8л/177л.с./Дизель,42опции,8850₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,,,
1600000,Вналичии,,2023,15030км,внедорожник5дв.,синий,1.5л/136л.с./Бензин,27опций,4624₽/год,вариатор,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
3990000,Вналичии,I(C253),2017,117000км,внедорожник5дв.,белый,2.0л/245л.с./Бензин,GLC3004MATICКупеSport,18375₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
170000,Вналичии,,2000,95000км,седан,бежевый,1.5л/71л.с./Бензин,1опция,923₽/год,механическая,задний,Левый,Нетребуетремонта,3илиболее,Оригинал,Растаможен,Рассмотрюварианты,,,XTA**************,******|05,
240000,Вналичии,III,2001,300000км,универсал5дв.,фиолетовый,2.0л/90л.с./Дизель,1опция,900₽/год,механическая,передний,Левый,Нетребуетремонта,3илиболее,Дубликат,Растаможен,,,,WF0**************,******|977,
2550000,Вналичии,V(B9),2017,129500км,седан,серый,2.0л/252л.с./Бензин,1опция,1040₽/год,роботизированная,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,,,,,,
1300000,Вналичии,V,2007,116000км,седан,голубой,4.2л/400л.с./Бензин,1опция,60150₽/год,автоматическая,задний,Левый,Нетребуетремонта,3илиболее,Оригинал,Растаможен,Рассмотрюварианты,,,,,
2050000,Вналичии,VI(F10/F11/F07)Рестайлинг,2013,192000км,лифтбек,чёрный,3.0л/306л.с./Бензин,1опция,45900₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
680000,Вналичии,IРестайлинг,2009,141852км,хэтчбек5дв.,серебристый,1.4л/88л.с./Бензин,17опций,1144₽/год,механическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
800000,Вналичии,IРестайлинг,2010,207500км,внедорожник5дв.,серебристый,2.0л/141л.с./Дизель,18опций,4935₽/год,автоматическая,полный,Левый,Нетребуетремонта,3илиболее,Дубликат,Растаможен,,,,Z8U**************,******|799,
1649000,Вналичии,II,2011,144000км,внедорожник5дв.,чёрный,3.0л/245л.с./Дизель,V6TDI,18375₽/год,автоматическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,
9220000,Назаказ,VII(W223),2021,44247км,седан,чёрный,2.9л/330л.с./Дизель,S400d4MATIC,49500₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,,,
3279000,Вналичии,II,2017,14404км,внедорожник5дв.,чёрный,2.5л/194л.с./Бензин,Supreme,9700₽/год,автоматическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,
6300000,Вналичии,IIРестайлинг,2022,8146км,внедорожник5дв.,зелёный,2.0л/192л.с./Бензин,69опций,9359₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,,,
1675000,Вналичии,I,2014,194269км,седан,белый,2.0л/211л.с./Бензин,31опция,15192₽/год,автоматическая,задний,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,Дофевраля2027
1797000,Вналичии,I,2022,35700км,внедорожник5дв.,белый,1.5л/147л.с./Бензин,Prestige,5110₽/год,вариатор,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
7143000,Назаказ,IРестайлинг,2020,24000км,лифтбек,серый,3.0л/367л.с./Бензин,AMGGT434MATIC+ОсобаяСерия,55050₽/год,роботизированная,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,,,
1673000,Вналичии,I,2018,90215км,внедорожник5дв.,чёрный,1.4л/140л.с./Бензин,Longitude,4900₽/год,роботизированная,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
33000000,Вналичии,,2024,200км,пикапдвойнаякабина,серый,845л.с./631кВт/Электро,Cyberbeast,,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,515км,,,
3773000,Назаказ,VII(G2x),2021,4700км,седан,серебристый,2.0л/184л.с./Бензин,320iSportLineEdition21,9200₽/год,автоматическая,задний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,,,
200000,Вналичии,I,2001,300000км,внедорожник5дв.,серый,2.0л/128л.с./Бензин,1опция,4480₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Дубликат,Растаможен,,,,,,
